Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Yaw,Pitch,Roll
09:57:18.336248,0.8147561,4.8855457,8.390432,-0.0077883024,-0.021532366,-0.047798797,30.79505534478305,-30.094428200101483,-5.546338575406141
09:57:18.337195,0.7860422,4.8616176,8.364112,-0.013896775,-0.020310672,-0.04734066,30.393259221573295,-30.057859367285232,-5.368772440006027
09:57:18.388896,0.7788638,4.854439,8.361719,-0.02015796,-0.019088976,-0.044439137,29.893480619625123,-30.030183440768344,-5.32153912057445
09:57:18.390219,0.7956135,4.828118,8.371888,-0.02687728,-0.01343864,-0.040774055,29.691580227759545,-29.860962088986692,-5.428739366484623
09:57:18.391357,0.8045866,4.8263235,8.42453,-0.03191677,-0.009009997,-0.038483378,30.275663854633184,-29.695866171463727,-5.4554991938790875
09:57:18.392424,0.8033902,4.816752,8.479566,-0.033138465,-0.0022906773,-0.03787253,30.58797425443202,-29.488587005626766,-5.41229056341594
09:57:18.393560,0.79800636,4.7934217,8.520244,-0.032527618,-0.0022906773,-0.03603999,30.406260486658415,-29.254956969971893,-5.350715554274629
09:57:18.394687,0.8021938,4.7982078,8.560922,-0.030084228,-0.006566608,-0.035429142,30.16859722429865,-29.162974812419332,-5.3532205261527315
09:57:18.403302,0.79501534,4.796413,8.608778,-0.027029991,-0.0151184695,-0.035887275,29.967762341943594,-29.02120740600655,-5.276264357887374
09:57:18.411650,0.77347994,4.8059845,8.608179,-0.019088976,-0.016951011,-0.035276428,30.39955324089346,-29.076866617552984,-5.134470484491556
09:57:18.422467,0.75194454,4.8035913,8.584251,-0.009162709,-0.017561859,-0.031458635,30.370361012380826,-29.137361603031785,-5.006092810172935
09:57:18.433018,0.7501499,4.796413,8.541181,-0.004428643,-0.020005248,-0.028251685,30.42759458253095,-29.22307706202086,-5.019261841779543
09:57:18.442060,0.77706915,4.8101716,8.479566,-0.003206948,-0.021226943,-0.02519745,30.963665394633985,-29.46207562636336,-5.235972645086646
09:57:18.454950,0.80877405,4.802395,8.450851,-0.0062611843,-0.016187452,-0.022143213,30.697622696272816,-29.496356345807655,-5.466743392800221
09:57:18.465642,0.8009974,4.8006005,8.477173,-0.008704574,-0.009468133,-0.022906773,30.36397820060145,-29.41370422666133,-5.397779826524248
09:57:18.474790,0.7818548,4.8006005,8.510672,-0.009926268,-0.022295926,-0.022906773,31.002532586105943,-29.323053955996922,-5.248891094128079
09:57:18.484822,0.779462,4.814957,8.505288,-0.009315421,-0.02107423,-0.023364907,30.901882918496636,-29.412167434098077,-5.236210421047127
09:57:18.494913,0.7507481,4.8532424,8.516654,-0.00503949,-0.014354911,-0.018478129,31.16416559771971,-29.581494653811863,-5.0376354775337004
09:57:18.504234,0.7435696,4.872385,8.519047,0.0010689828,-0.009468133,-0.010537115,30.74558428462465,-29.67336411324312,-4.98831638908433
09:57:18.513922,0.7579266,4.862814,8.514261,0.008246438,-0.00503949,-0.0012216945,30.689289865485403,-29.635022846337254,-5.086974202776934
09:57:18.523407,0.77706915,4.846064,8.495717,0.012522369,-0.002443389,0.0061084726,30.640286673285146,-29.598372051250966,-5.226073566545182
09:57:18.534485,0.8033902,4.8047876,8.477173,0.013133216,-0.0012216945,0.007330167,30.2099266989664,-29.43442702060315,-5.413809426732622
09:57:18.543514,0.82313097,4.8095737,8.45803,0.009926268,-0.005497625,0.007330167,30.40411580725903,-29.50839113912522,-5.55849033571324
